city,community,distance,houseInfo,link,price,time,title
闲林,余杭闲林竹海水韵,4.235,--85.79㎡南北2室2厅1卫,/zufang/HZ2799856465135796224.html,3000,5天前维护,整租·竹海水韵 2室2厅 南/北
闲林,,,23.00㎡1间在租1室1厅1卫,/apartment/17959.html,2061,6天前维护,独栋·柚米国际社区 杭州西溪湿地店 舒适特惠一居 1室1厅
,,,未来科技城区域优质商家，租房更省心,,,,
闲林,余杭闲林东海·闲湖城,5.161,--89.00㎡南北2室1厅1卫,/zufang/HZ2800654387910295552.html,3900,今天维护,整租·东海·闲湖城 2室1厅 南/北
,余杭未来科技城湖山帝景湾南苑,,--89.00㎡南3室2厅1卫,,,,整租·湖山帝景湾南苑 3室2厅 南
未来科技城,,,40.00-58.00㎡2间在租1室1厅1卫,/apartment/13716.html,2800-3000,25天前维护,独栋·泊寓 泊寓AI小镇社区 都市loft-秒杀 1室1厅
闲林,,,20.00㎡1间在租1室1厅1卫,/apartment/17959.html,1546,2天前维护,独栋·柚米国际社区 杭州西溪湿地店 特价小户型 1室1厅
,余杭未来科技城新湖果岭,,--88.00㎡南3室2厅1卫,,,,整租·新湖果岭 3室2厅 南
未来科技城,,,63.00㎡1间在租1室1厅1卫,/apartment/26260.html,6232,1天前维护,独栋·方隅公寓 杭州方隅公寓 杭师大旁网红公寓一居 1室1厅
闲林,余杭闲林爵士风情花园,4.459,--112.93㎡南北2室2厅2卫,/zufang/HZ2801294225109958656.html,3500,2天前维护,整租·爵士风情花园 2室2厅 南/北
,余杭未来科技城合景天峻,,--124.00㎡南北4室2厅2卫,,,,整租·合景天峻 4室2厅 南/北
未来科技城,,,31.00㎡1间在租1室0厅1卫,/apartment/23519.html,2480,1个月前维护,独栋·优家社区 杭州余杭区文一西路1500号科创中心7号楼 拎包入住 高颜值邻居 开间
闲林,余杭闲林闲林山水紫薇苑,5.25,精选--16.00㎡南4室1厅2卫,/zufang/HZ2739855348939890688.html,1190,6天前维护,合租·闲林山水紫薇苑 4居室 南卧
,余杭未来科技城湖山帝景湾,,--139.89㎡南北4室1厅2卫,,,,整租·湖山帝景湾 4室1厅 南/北
,余杭未来科技城新湖菲林山,,--90.00㎡南3室2厅1卫,,,,整租·新湖菲林山 3室2厅 南
,余杭未来科技城华夏四季,,--139.00㎡南北4室2厅3卫,,,,整租·华夏四季 4室2厅 南/北
未来科技城,余杭未来科技城富力西溪悦居,4.157,--139.00㎡南3室2厅2卫,/zufang/HZ2771611060505935872.html,8500,3天前维护,整租·富力西溪悦居 3室2厅 南
闲林,余杭闲林竹海水韵,4.235,--163.00㎡东南南3室2厅2卫,/zufang/HZ2802708495873884160.html,4500,2天前维护,整租·竹海水韵 3室2厅 东南/南
未来科技城,余杭未来科技城欧美金融城,1.901,--72.00㎡南2室1厅1卫,/zufang/HZ2771596689050705920.html,6800,2天前维护,整租·欧美金融城 2室1厅 南
,余杭闲林绿城桃源小镇,,--250.00㎡南5室2厅3卫,,,,整租·绿城桃源小镇 5室2厅 南
,余杭闲林佳兆业西溪璞园,,--89.00㎡南3室2厅1卫,,,,整租·佳兆业西溪璞园 3室2厅 南
,余杭闲林融创金成江南府,,--89.00㎡南3室2厅2卫,,,,整租·融创金成江南府 3室2厅 南
闲林,余杭闲林岸上蓝山,5.208,精选--20.00㎡南4室1厅2卫,/zufang/HZ2739885813470076928.html,1360,6天前维护,合租·岸上蓝山 4居室 南卧
未来科技城,,,30.00㎡2间在租1室0厅1卫,/apartment/36871.html,1500-1900,19天前维护,独栋·途步酒店式公寓 余勋工业园店 未来科技城精装公寓 开间
,余杭闲林岸上蓝山,,--141.06㎡南4室2厅2卫,,,,整租·岸上蓝山 4室2厅 南
闲林,余杭闲林岸上蓝山,5.208,精选--12.00㎡南5室1厅2卫,/zufang/HZ2739885581021749248.html,1060,6天前维护,合租·岸上蓝山 5居室 南卧
,余杭未来科技城复泰雅宸华庭,,--103.00㎡南北3室2厅2卫,,,,整租·复泰雅宸华庭 3室2厅 南/北
未来科技城,,,30.00㎡2间在租1室0厅1卫,/apartment/36871.html,1800-1900,19天前维护,独栋·途步酒店式公寓 余勋工业园店 科技城精品公寓 开间
,余杭闲林新西湖小镇,,--89.50㎡西南2室2厅1卫,,,,整租·新西湖小镇 2室2厅 西南
,余杭闲林南湖大厦,,--84.90㎡南2室0厅2卫,,,,整租·南湖大厦 2室0厅 南
,余杭闲林融创金成未来海,,--89.00㎡南3室2厅2卫,,,,整租·融创金成未来海 3室2厅 南
未来科技城,余杭未来科技城金地西溪风华,4.346,--151.26㎡南4室2厅3卫,/zufang/HZ2771787333320572928.html,9000,7天前维护,整租·金地西溪风华 4室2厅 南
,余杭闲林新西湖小镇,,--89.00㎡南2室2厅1卫,,,,整租·新西湖小镇 2室2厅 南
,余杭闲林新明半岛,,--271.40㎡南5室2厅3卫,,,,整租·新明半岛 5室2厅 南
,余杭闲林融创金成江南府,,--149.00㎡南4室2厅3卫,,,,整租·融创金成江南府 4室2厅 南
,余杭闲林中港罗兰小镇,,--89.57㎡南北3室2厅2卫,,,,整租·中港罗兰小镇 3室2厅 南/北
,余杭未来科技城华夏四季,,--139.14㎡南4室2厅2卫,,,,整租·华夏四季 4室2厅 南
,余杭未来科技城创客空间大厦,,--45.00㎡南2室1厅1卫,,,,整租·创客空间大厦 2室1厅 南
,余杭未来科技城华夏之心,,--126.00㎡南3室2厅2卫,,,,整租·华夏之心 3室2厅 南
闲林,余杭闲林闲林山水海棠苑,5.425,精选--15.00㎡南6室1厅4卫,/zufang/HZ2739862061294567424.html,1690,6天前维护,合租·闲林山水海棠苑 6居室 跃层 南卧
,余杭未来科技城新湖果岭,,--89.00㎡南2室2厅1卫,,,,整租·新湖果岭 2室2厅 南
,余杭未来科技城南湖明筑花苑,,--123.58㎡南北3室2厅2卫,,,,整租·南湖明筑花苑 3室2厅 南/北
,余杭未来科技城庭院深深,,--133.00㎡南3室2厅2卫,,,,整租·庭院深深 3室2厅 南
未来科技城,余杭未来科技城中南未来里,5.628,--35.00㎡西2室2厅2卫,/zufang/HZ2810978982114099200.html,3200,6天前维护,合租·中南未来里 2居室 西卧
,余杭闲林东海闲湖城印象加州,,--89.00㎡南3室2厅1卫,,,,整租·东海闲湖城印象加州 3室2厅 南
闲林,余杭闲林爵士风情花园,4.459,精选--10.00㎡北4室1厅2卫,/zufang/HZ2826087002728824832.html,990,1天前维护,合租·爵士风情花园 4居室 北卧
,余杭未来科技城金都西花庭,,--120.08㎡南3室2厅2卫,,,,整租·金都西花庭 3室2厅 南
未来科技城,,,65.00㎡3间在租1室1厅1卫,/apartment/27915.html,6132,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 杭师阿里一室一厅整租 1室1厅
,余杭闲林融创金成未来海,,--138.00㎡南北4室2厅2卫,,,,整租·融创金成未来海 4室2厅 南/北
闲林,余杭闲林竹海水韵,4.235,精选--15.00㎡南5室1厅2卫,/zufang/HZ2738481847138000896.html,1230,6天前维护,合租·竹海水韵 5居室 南卧
,余杭未来科技城众安学君里,,--118.53㎡南北3室2厅2卫,,,,整租·众安学君里 3室2厅 南/北
未来科技城,,,43.00㎡1间在租1室0厅1卫,/apartment/27915.html,4020,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 贝达高档一室整租 开间
,余杭闲林融创金成未来海,,--89.00㎡西3室2厅2卫,,,,整租·融创金成未来海 3室2厅 西
闲林,余杭闲林竹海水韵春风里,4.035,精选--15.60㎡东5室1厅2卫,/zufang/HZ2379881810596470784.html,1230,1天前维护,合租·竹海水韵春风里 5居室 东卧
,余杭未来科技城西城时代家园,,--92.00㎡南北2室2厅1卫,,,,整租·西城时代家园 2室2厅 南/北
未来科技城,,,65.00㎡4间在租1室1厅1卫,/apartment/27915.html,5364-5508,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 阿里贝达一室一厅整租 1室1厅
闲林,余杭闲林绿城桃源小镇品霞苑,6.25,--124.44㎡南4室2厅2卫,/zufang/HZ2764527204045438976.html,2000,4天前维护,整租·绿城桃源小镇品霞苑 4室2厅 南
,余杭未来科技城阳光城未来悦MAX,,--125.81㎡南4室2厅2卫,,,,整租·阳光城未来悦MAX 4室2厅 南
未来科技城,,,43.00㎡5间在租1室0厅1卫,/apartment/27915.html,3924-4606,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 阿里高档一室独卫独厨 开间
未来科技城,,,40.00-43.00㎡2间在租1室0厅1卫,/apartment/27915.html,4164,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 高档整租一室独卫独厨 开间
闲林,,,45.00㎡3间在租1室1厅1卫,/apartment/38361.html,2560-2720,1天前维护,独栋·美好生活公寓 绿城闲林店 个性潮人一室一厅 1室1厅
未来科技城,,,60.00-65.00㎡4间在租1室1厅1卫,/apartment/27915.html,6132-6624,1天前维护,独栋·FUNLIVE方隅 未来科技城服务式公寓 阿里高档一室一厅 1室1厅
闲林,,,96.00㎡3间在租3室2厅2卫,/apartment/38361.html,3750-3910,今天维护,独栋·美好生活公寓 绿城闲林店 智能家居大三房两厅 3室2厅
未来科技城,余杭未来科技城富力十号一期,3.722,精选--54.00㎡北1室2厅1卫,/zufang/HZ2827267599841640448.html,4490,今天维护,整租·富力十号一期 1室2厅 北
,余杭闲林绿城桃源小镇,,--84.00㎡南3室2厅1卫,,,,整租·绿城桃源小镇 3室2厅 南
未来科技城,余杭未来科技城富力十号一期,3.722,精选--61.66㎡北1室1厅1卫,/zufang/HZ2796788985886941184.html,4490,今天维护,整租·富力十号一期 1室1厅 北
闲林,,,70.00-73.00㎡2间在租2室2厅1卫,/apartment/38361.html,3208-3508,今天维护,独栋·美好生活公寓 绿城闲林店 经典网红两居 2室2厅
未来科技城,,,63.00㎡2间在租1室1厅1卫,/apartment/26260.html,5316-5508,1天前维护,独栋·方隅公寓 杭州方隅公寓 应届生可月付朝南一居 1室1厅
,余杭闲林绿城桃源小镇品霞苑,,--124.44㎡东南4室2厅2卫,,,,整租·绿城桃源小镇品霞苑 4室2厅 东/南
闲林,,,70.00㎡2间在租2室2厅1卫,/apartment/38361.html,3208-3360,今天维护,独栋·美好生活公寓 绿城闲林店 米兰风情两居 2室2厅
,余杭未来科技城新湖菲林山,,--118.00㎡东南4室2厅2卫,,,,整租·新湖菲林山 4室2厅 东南
,余杭闲林绿城桃源小镇,,--288.00㎡南5室3厅3卫,,,,整租·绿城桃源小镇 5室3厅 南
闲林,,,45.00-48.00㎡3间在租1室1厅1卫,/apartment/38361.html,2575-2800,2天前维护,独栋·美好生活公寓 绿城闲林店 店长首推网红一居 1室1厅
未来科技城,,,63.00㎡1间在租1室1厅1卫,/apartment/26260.html,6424,1天前维护,独栋·方隅公寓 杭州方隅公寓 亲橙客栈对面朝南一居 1室1厅
,余杭闲林新明半岛,,--339.00㎡南5室1厅4卫,,,,整租·新明半岛 5室1厅 跃层 南
,余杭闲林绿城桃源小镇品霞苑,,--87.42㎡南西3室2厅1卫,,,,整租·绿城桃源小镇品霞苑 3室2厅 南/西
,余杭闲林绿城桃源小镇品霞苑,,--89.00㎡南3室1厅1卫,,,,整租·绿城桃源小镇品霞苑 3室1厅 南
,余杭闲林雅居乐国际花园,,--127.00㎡南4室2厅2卫,,,,整租·雅居乐国际花园 4室2厅 南
闲林,,,76.00㎡3间在租2室2厅1卫,/apartment/38361.html,3180-3450,2天前维护,独栋·美好生活公寓 绿城闲林店 亲昵室友两居室 2室2厅
,余杭未来科技城众安学君里,,--89.00㎡南3室2厅1卫,,,,整租·众安学君里 3室2厅 南
,余杭闲林绿城桃源小镇,,--265.00㎡南5室2厅3卫,,,,整租·绿城桃源小镇 5室2厅 跃层 南
,余杭闲林绿城桃源小镇,,--127.09㎡南4室2厅2卫,,,,整租·绿城桃源小镇 4室2厅 南
,余杭闲林华元玉榕庄,,--283.03㎡南6室2厅5卫,,,,整租·华元玉榕庄 6室2厅 南
,余杭闲林雅居乐国际花园,,--89.00㎡南3室1厅2卫,,,,整租·雅居乐国际花园 3室1厅 南
,余杭闲林东海·闲湖城,,--200.00㎡南4室2厅2卫,,,,整租·东海·闲湖城 4室2厅 南
未来科技城,余杭未来科技城西溪永乐城,1.865,--107.00㎡南4室2厅2卫,/zufang/HZ2779102759713521664.html,7000,1天前维护,整租·西溪永乐城 4室2厅 南
,余杭未来科技城合景映月台,,--120.00㎡南4室2厅2卫,,,,整租·合景映月台 4室2厅 南
,余杭闲林竹海水韵,,--89.64㎡东南3室2厅1卫,,,,整租·竹海水韵 3室2厅 东南
,余杭未来科技城复地上城,,--89.48㎡南3室2厅1卫,,,,整租·复地上城 3室2厅 南
,余杭未来科技城中南樾府,,--128.00㎡南4室2厅2卫,,,,整租·中南樾府 4室2厅 南
未来科技城,,,38.00㎡1间在租1室0厅1卫,/apartment/26260.html,4164,3天前维护,独栋·方隅公寓 杭州方隅公寓 可短租边套安静小一室 开间
,余杭闲林融创金成西溪海,,--137.60㎡南4室2厅2卫,,,,整租·融创金成西溪海 4室2厅 南
闲林,,,90.00㎡3间在租3室2厅2卫,/apartment/38361.html,3700-4200,今天维护,独栋·美好生活公寓 绿城闲林店 日系实木大三居 3室2厅
,余杭未来科技城西溪永乐城,,--49.95㎡北1室1厅1卫,,,,整租·西溪永乐城 1室1厅 北
未来科技城,,,43.00㎡4间在租1室0厅1卫,/apartment/26260.html,3924-4308,1天前维护,独栋·方隅公寓 杭州方隅公寓 全球阿里旁一室户型 开间
闲林,余杭闲林竹海水韵,4.235,--130.00㎡南北3室2厅2卫,/zufang/HZ2591833755274985472.html,2800,3天前维护,整租·竹海水韵 3室2厅 南/北
,余杭未来科技城融创金成英特学府,,--89.00㎡南3室2厅2卫,,,,整租·融创金成英特学府 3室2厅 南
,余杭未来科技城禹航路,,--89.00㎡南3室2厅1卫,,,,整租·禹航路 3室2厅 南
,余杭未来科技城锦绣时代中心,,--95.00㎡南北2室1厅1卫,,,,整租·锦绣时代中心 2室1厅 南/北
,余杭未来科技城青枫墅园,,--201.90㎡南5室2厅4卫,,,,整租·青枫墅园 5室2厅 南
未来科技城,余杭未来科技城新湖果岭,2.331,--323.00㎡南5室2厅4卫,/zufang/HZ2786968078812971008.html,7800,7天前维护,整租·新湖果岭 5室2厅 南
未来科技城,余杭未来科技城欧美金融城,1.901,精选--45.00㎡南1室1厅1卫,/zufang/HZ2808117287532904448.html,4600,2天前维护,整租·欧美金融城 1室1厅 南
,余杭闲林中港罗兰小镇,,--89.57㎡南3室2厅2卫,,,,整租·中港罗兰小镇 3室2厅 南
未来科技城,余杭未来科技城新湖果岭,2.331,--309.35㎡南北4室2厅3卫,/zufang/HZ2786250765042728960.html,8950,3天前维护,整租·新湖果岭 4室2厅 南/北
,余杭闲林南湖大厦,,--47.00㎡南1室1厅1卫,,,,整租·南湖大厦 1室1厅 南
,余杭闲林岸上蓝山,,--115.00㎡南3室2厅1卫,,,,整租·岸上蓝山 3室2厅 南
,余杭闲林润和西溪郡,,--86.80㎡南3室2厅1卫,,,,整租·润和西溪郡 3室2厅 南
闲林,余杭闲林融创金成西溪海,3.296,--309.86㎡南北5室2厅3卫,/zufang/HZ2804360012762726400.html,8000,3天前维护,整租·融创金成西溪海 5室2厅 南/北
,余杭未来科技城富力西溪悦墅,,--132.30㎡南4室2厅2卫,,,,整租·富力西溪悦墅 4室2厅 南
未来科技城,余杭未来科技城中南未来里,5.628,精选--52.00㎡东2室2厅2卫,/zufang/HZ2824733769138192384.html,3500,2天前维护,合租·中南未来里 2居室 东卧
,余杭闲林白云深处,,--287.00㎡南北6室2厅4卫,,,,整租·白云深处 6室2厅 南/北
,余杭闲林竹海水韵,,--122.70㎡南4室2厅2卫,,,,整租·竹海水韵 4室2厅 南
,余杭闲林赞成乐山红叶,,--89.00㎡东2室2厅1卫,,,,整租·赞成乐山红叶 2室2厅 东
,余杭闲林荆山翠谷,,--258.00㎡东5室3厅3卫,,,,整租·荆山翠谷 5室3厅 东
,余杭未来科技城瑞城熙园,,--175.66㎡南北4室1厅3卫,,,,整租·瑞城熙园 4室1厅 南/北
,余杭闲林盛世嘉园,,--66.99㎡北1室1厅2卫,,,,整租·盛世嘉园 1室1厅 北
,余杭闲林绿城桃源小镇,,--280.00㎡南北5室3厅4卫,,,,整租·绿城桃源小镇 5室3厅 南/北
,余杭闲林融创金成西溪海,,--308.43㎡南5室2厅4卫,,,,整租·融创金成西溪海 5室2厅 跃层 南
,余杭闲林佳兆业西溪璞园,,--124.45㎡南4室2厅2卫,,,,整租·佳兆业西溪璞园 4室2厅 南
,余杭未来科技城新湖果岭,,--330.15㎡南5室3厅4卫,,,,整租·新湖果岭 5室3厅 南
,余杭闲林融创金成江南府,,--89.00㎡南北3室2厅1卫,,,,整租·融创金成江南府 3室2厅 南/北
,余杭闲林融创金成西溪海,,--294.55㎡南5室2厅3卫,,,,整租·融创金成西溪海 5室2厅 南
,余杭闲林雅居乐国际花园,,--117.52㎡南3室2厅2卫,,,,整租·雅居乐国际花园 3室2厅 南
,余杭闲林绿城桃源小镇,,--90.06㎡南2室2厅1卫,,,,整租·绿城桃源小镇 2室2厅 南
,余杭闲林华元玉榕庄,,--296.00㎡南5室3厅5卫,,,,整租·华元玉榕庄 5室3厅 南
,余杭闲林赞成乐山红叶,,--128.09㎡南4室2厅2卫,,,,整租·赞成乐山红叶 4室2厅 南
,余杭闲林东海·闲湖城,,--91.00㎡东南3室2厅2卫,,,,整租·东海·闲湖城 3室2厅 东南
,余杭闲林融创金成未来海,,--127.00㎡南4室2厅2卫,,,,整租·融创金成未来海 4室2厅 南
,余杭闲林融创金成西溪海,,--131.76㎡南3室2厅2卫,,,,整租·融创金成西溪海 3室2厅 南
未来科技城,余杭未来科技城华夏之心,1.924,--60.00㎡西1室1厅1卫,/zufang/HZ2812208538456702976.html,5000,1天前维护,整租·华夏之心 1室1厅 西
,余杭闲林绿城桃花源,,--269.91㎡南5室2厅4卫,,,,整租·绿城桃花源 5室2厅 南
,余杭闲林绿城桃源小镇品霞苑,,--88.38㎡南3室2厅1卫,,,,整租·绿城桃源小镇品霞苑 3室2厅 南
,余杭闲林融创金成江南府,,--190.44㎡南北5室3厅3卫,,,,整租·融创金成江南府 5室3厅 南/北
,余杭闲林绿城桃源小镇品霞苑,,--124.00㎡东南4室2厅2卫,,,,整租·绿城桃源小镇品霞苑 4室2厅 东南
,余杭未来科技城南门公寓,,--15.00㎡北8室0厅8卫,,,,合租·南门公寓 8居室 北卧
闲林,余杭闲林东海·闲湖城,5.161,--190.00㎡南4室2厅3卫,/zufang/HZ2654879628304318464.html,5000,4天前维护,整租·东海·闲湖城 4室2厅 跃层 南
,余杭未来科技城复地上城,,--113.42㎡南北3室2厅2卫,,,,整租·复地上城 3室2厅 南/北
,余杭未来科技城欧美金融城,,--97.00㎡南3室2厅2卫,,,,整租·欧美金融城 3室2厅 南
,余杭未来科技城青枫墅园三期,,--89.00㎡南3室2厅1卫,,,,整租·青枫墅园三期 3室2厅 南
未来科技城,余杭未来科技城鼎创财富中心,2.282,--53.92㎡南2室1厅2卫,/zufang/HZ2824429731129065472.html,5200,4天前维护,整租·鼎创财富中心 2室1厅 南
闲林,余杭闲林东海·闲湖城,5.161,--185.00㎡南北3室2厅3卫,/zufang/HZ2654881219221143552.html,5000,1天前维护,整租·东海·闲湖城 3室2厅 南/北
,余杭未来科技城富力新线公园,,--115.05㎡南4室1厅2卫,,,,整租·富力新线公园 4室1厅 南
,余杭闲林竹海水韵,,--86.72㎡南2室2厅1卫,,,,整租·竹海水韵 2室2厅 南
,余杭闲林南湖大厦,,--44.00㎡南1室0厅1卫,,,,整租·南湖大厦 1室0厅 南
,余杭闲林中港罗兰小镇,,--99.00㎡南北4室1厅2卫,,,,整租·中港罗兰小镇 4室1厅 南/北
未来科技城,余杭未来科技城创客空间大厦,2.312,精选--45.00㎡西2室1厅1卫,/zufang/HZ2814492130095923200.html,4200,2天前维护,整租·创客空间大厦 2室1厅 LOFT 西
,余杭闲林竹海水韵,,--289.00㎡东南5室2厅4卫,,,,整租·竹海水韵 5室2厅 跃层 东南
,余杭闲林竹海水韵,,--139.00㎡南3室2厅2卫,,,,整租·竹海水韵 3室2厅 南
,余杭未来科技城杭州未来广场银天金城,,--40.00㎡北2室1厅1卫,,,,整租·杭州未来广场银天金城 2室1厅 北
,余杭未来科技城阳光城未来悦MAX,,--125.00㎡南3室2厅2卫,,,,整租·阳光城未来悦MAX 3室2厅 南
,余杭闲林融创金成江南府,,--148.00㎡南5室2厅3卫,,,,整租·融创金成江南府 5室2厅 跃层 南
,余杭闲林恒厚阳光城,,--127.00㎡南3室2厅2卫,,,,整租·恒厚阳光城 3室2厅 南
,余杭闲林荆山翠谷,,--270.89㎡南5室2厅3卫,,,,整租·荆山翠谷 5室2厅 南
,余杭未来科技城恒腾悦湖花苑,,--89.23㎡南3室2厅2卫,,,,整租·恒腾悦湖花苑 3室2厅 南
,余杭未来科技城碧景园,,--115.00㎡南3室2厅2卫,,,,整租·碧景园 3室2厅 南
,余杭闲林竹海水韵,,--257.09㎡南4室2厅4卫,,,,整租·竹海水韵 4室2厅 跃层 南
,余杭闲林绿城桃源小镇,,--89.00㎡南3室1厅1卫,,,,整租·绿城桃源小镇 3室1厅 南
,余杭未来科技城杭州未来广场银天金城,,--37.09㎡北1室1厅1卫,,,,整租·杭州未来广场银天金城 1室1厅 北
未来科技城,余杭未来科技城西溪蓝海,2.159,精选--21.00㎡南4室3厅4卫,/zufang/HZ2791769946210697216.html,1688,1个月前维护,合租·西溪蓝海 4居室 南卧
,余杭闲林赞成乐山红叶,,--240.05㎡南北4室3厅3卫,,,,整租·赞成乐山红叶 4室3厅 跃层 南/北
,余杭闲林东海·闲湖城,,--277.48㎡南5室2厅3卫,,,,整租·东海·闲湖城 5室2厅 南
,余杭未来科技城锦绣时代中心,,--90.00㎡东西2室2厅1卫,,,,整租·锦绣时代中心 2室2厅 东/西
未来科技城,余杭未来科技城欧美金融城,1.901,精选--29.00㎡南3室2厅3卫,/zufang/HZ2775119570779258880.html,3288,17天前维护,合租·欧美金融城 3居室 南卧
,余杭闲林怡景花城,,--138.00㎡南3室2厅2卫,,,,整租·怡景花城 3室2厅 南
,余杭闲林新西湖小镇,,--234.68㎡南5室2厅3卫,,,,整租·新西湖小镇 5室2厅 南
,余杭未来科技城南湖丽景,,--104.50㎡南北3室2厅1卫,,,,整租·南湖丽景 3室2厅 南/北
,余杭闲林十里风荷,,--105.00㎡南3室2厅2卫,,,,整租·十里风荷 3室2厅 南
,余杭闲林绿城桃源小镇,,--89.00㎡东东南3室2厅1卫,,,,整租·绿城桃源小镇 3室2厅 东/东南
,余杭闲林东海·闲湖城,,--286.00㎡南6室3厅4卫,,,,整租·东海·闲湖城 6室3厅 南
